CMDLINE C:\Users\lenovo\Anaconda3\python.exe in_memory_clustering.py
MEM 0.589844 1563633508.4066
MEM 9.449219 1563633508.5073
MEM 13.289062 1563633508.6079
MEM 17.039062 1563633508.7082
MEM 19.621094 1563633508.8090
MEM 21.832031 1563633508.9094
MEM 23.828125 1563633509.0103
MEM 26.718750 1563633509.1111
MEM 29.222656 1563633509.2118
MEM 34.433594 1563633509.3126
MEM 39.785156 1563633509.4133
MEM 31.753906 1563633509.5140
MEM 36.042969 1563633509.6143
MEM 39.593750 1563633509.7150
MEM 39.597656 1563633509.8158
MEM 41.328125 1563633509.9167
MEM 44.453125 1563633510.0171
MEM 47.398438 1563633510.1172
MEM 48.578125 1563633510.2179
MEM 48.179688 1563633510.3187
MEM 48.179688 1563633510.4194
MEM 49.039062 1563633510.5201
MEM 49.152344 1563633510.6210
MEM 51.089844 1563633510.7214
MEM 51.214844 1563633510.8222
MEM 53.332031 1563633510.9230
MEM 57.437500 1563633511.0231
MEM 61.769531 1563633511.1234
MEM 63.800781 1563633511.2242
MEM 66.792969 1563633511.3243
MEM 70.621094 1563633511.4247
MEM 75.015625 1563633511.5256
MEM 78.066406 1563633511.6257
MEM 81.101562 1563633511.7259
MEM 83.125000 1563633511.8259
MEM 85.410156 1563633511.9266
MEM 90.007812 1563633512.0267
MEM 92.628906 1563633512.1270
MEM 95.277344 1563633512.2279
MEM 96.976562 1563633512.3284
MEM 97.582031 1563633512.4292
MEM 99.722656 1563633512.5294
MEM 103.265625 1563633512.6298
MEM 106.941406 1563633512.7304
MEM 112.136719 1563633512.8311
MEM 115.218750 1563633512.9313
MEM 116.410156 1563633513.0314
MEM 118.761719 1563633513.1320
MEM 120.816406 1563633513.2322
MEM 122.085938 1563633513.3329
MEM 122.226562 1563633513.4336
MEM 122.640625 1563633513.5343
MEM 123.433594 1563633513.6350
MEM 124.351562 1563633513.7358
MEM 124.421875 1563633513.8365
MEM 124.707031 1563633513.9372
MEM 124.812500 1563633514.0380
MEM 125.101562 1563633514.1387
MEM 125.199219 1563633514.2394
MEM 125.371094 1563633514.3402
MEM 124.996094 1563633514.4409
MEM 125.593750 1563633514.5416
MEM 125.683594 1563633514.6423
MEM 125.738281 1563633514.7431
MEM 125.890625 1563633514.8438
MEM 126.152344 1563633514.9445
MEM 126.425781 1563633515.0453
MEM 126.621094 1563633515.1460
MEM 127.039062 1563633515.2467
MEM 127.179688 1563633515.3475
MEM 127.265625 1563633515.4482
MEM 127.613281 1563633515.5489
MEM 127.507812 1563633515.6497
MEM 128.316406 1563633515.7504
MEM 128.347656 1563633515.8511
MEM 128.550781 1563633515.9518
MEM 128.656250 1563633516.0526
MEM 128.765625 1563633516.1533
MEM 129.066406 1563633516.2540
MEM 129.265625 1563633516.3548
MEM 129.261719 1563633516.4555
MEM 129.890625 1563633516.5562
MEM 131.050781 1563633516.6570
MEM 130.148438 1563633516.7577
MEM 130.292969 1563633516.8584
MEM 130.484375 1563633516.9591
MEM 130.546875 1563633517.0599
MEM 130.601562 1563633517.1606
MEM 130.718750 1563633517.2613
MEM 131.089844 1563633517.3621
MEM 131.937500 1563633517.4628
MEM 131.277344 1563633517.5635
MEM 131.742188 1563633517.6643
MEM 131.824219 1563633517.7650
MEM 132.328125 1563633517.8658
MEM 132.960938 1563633517.9664
MEM 133.359375 1563633518.0672
MEM 133.464844 1563633518.1680
MEM 133.714844 1563633518.2687
MEM 133.839844 1563633518.3694
MEM 134.058594 1563633518.4701
MEM 134.562500 1563633518.5709
MEM 134.769531 1563633518.6716
MEM 134.964844 1563633518.7723
MEM 135.988281 1563633518.8731
MEM 135.441406 1563633518.9738
MEM 135.441406 1563633519.0745
MEM 135.777344 1563633519.1753
MEM 135.996094 1563633519.2760
MEM 136.218750 1563633519.3767
MEM 136.589844 1563633519.4774
MEM 136.660156 1563633519.5782
MEM 136.660156 1563633519.6789
MEM 136.660156 1563633519.7796
MEM 136.691406 1563633519.8804
MEM 137.292969 1563633519.9811
MEM 137.609375 1563633520.0818
MEM 137.656250 1563633520.1825
MEM 137.792969 1563633520.2833
MEM 137.902344 1563633520.3840
MEM 137.992188 1563633520.4847
MEM 137.992188 1563633520.5854
MEM 138.304688 1563633520.6862
MEM 138.304688 1563633520.7869
MEM 138.363281 1563633520.8876
MEM 138.402344 1563633520.9884
MEM 138.738281 1563633521.0891
MEM 138.738281 1563633521.1898
MEM 138.738281 1563633521.2906
MEM 138.796875 1563633521.3913
MEM 139.050781 1563633521.4920
MEM 139.050781 1563633521.5927
MEM 139.125000 1563633521.6935
MEM 139.132812 1563633521.7942
MEM 139.132812 1563633521.8949
MEM 139.132812 1563633521.9957
MEM 139.132812 1563633522.0964
MEM 139.132812 1563633522.1971
MEM 139.132812 1563633522.2979
MEM 139.132812 1563633522.3986
MEM 139.148438 1563633522.4993
MEM 139.152344 1563633522.6001
MEM 139.152344 1563633522.7008
MEM 139.164062 1563633522.8015
MEM 139.277344 1563633522.9023
MEM 140.703125 1563633523.0030
MEM 140.703125 1563633523.1037
MEM 140.703125 1563633523.2044
MEM 140.699219 1563633523.3052
MEM 140.699219 1563633523.4059
MEM 140.699219 1563633523.5067
MEM 140.699219 1563633523.6074
MEM 140.699219 1563633523.7081
MEM 140.699219 1563633523.8088
MEM 140.699219 1563633523.9096
MEM 140.699219 1563633524.0103
MEM 140.699219 1563633524.1110
MEM 140.699219 1563633524.2118
MEM 140.699219 1563633524.3125
MEM 140.699219 1563633524.4132
MEM 140.699219 1563633524.5140
MEM 140.699219 1563633524.6147
MEM 140.699219 1563633524.7154
MEM 140.699219 1563633524.8162
MEM 140.699219 1563633524.9169
MEM 140.699219 1563633525.0176
MEM 140.699219 1563633525.1184
MEM 140.699219 1563633525.2191
MEM 140.699219 1563633525.3198
MEM 140.699219 1563633525.4205
MEM 140.699219 1563633525.5213
MEM 140.699219 1563633525.6220
MEM 140.699219 1563633525.7227
MEM 140.699219 1563633525.8235
MEM 140.699219 1563633525.9242
MEM 140.699219 1563633526.0249
MEM 140.699219 1563633526.1257
MEM 140.699219 1563633526.2264
MEM 140.699219 1563633526.3271
MEM 140.699219 1563633526.4278
MEM 140.699219 1563633526.5286
MEM 140.699219 1563633526.6293
MEM 140.699219 1563633526.7300
MEM 140.699219 1563633526.8308
MEM 140.699219 1563633526.9315
MEM 140.699219 1563633527.0322
MEM 140.699219 1563633527.1330
MEM 140.699219 1563633527.2337
MEM 140.699219 1563633527.3344
MEM 140.699219 1563633527.4351
MEM 140.699219 1563633527.5359
MEM 140.699219 1563633527.6366
MEM 140.699219 1563633527.7373
MEM 140.714844 1563633527.8381
MEM 140.730469 1563633527.9388
MEM 140.804688 1563633528.0395
MEM 140.804688 1563633528.1403
